TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Xinjiang-Shandong,2023,0.0
Xinjiang-Henan,2023,0.0
Yunnan-Zhejiang,2023,0.0
East_Inner_Mongolia-Jiangsu,2023,0.0
Xinjiang-Gansu,2023,0.0
Ningxia-Zhejiang,2023,0.0
Gansu-Jiangsu,2023,0.0
Xinjiang-Qinghai,2023,0.0
West_Inner_Mongolia-Jiangxi,2023,0.0
Guizhou-Jiangsu,2023,0.0
Sichuan-Guangdong,2023,3270.552131913669
Chongqing-Hebei,2023,0.0
East_Inner_Mongolia-Shandong,2023,0.0
East_Inner_Mongolia-Hebei,2023,0.0
Yunnan-Guangdong,2023,0.0
Shanxi-Hunan,2023,0.0
West_Inner_Mongolia-East_Inner_Mongolia,2023,0.0
Ningxia-Shandong,2023,0.0
Shaanxi-Jiangsu,2023,4665.038437392002
East_Inner_Mongolia-Tianjin,2023,0.0
Sichuan-Hunan,2023,0.0
West_Inner_Mongolia-Gansu,2023,0.0
Liaoning-Hebei,2023,0.0
Shanxi-Jiangsu,2023,0.0
East_Inner_Mongolia-Beijing,2023,0.0
West_Inner_Mongolia-Shaanxi,2023,0.0
Guangxi-Hunan,2023,0.0
Chongqing-Hubei,2023,0.0
Hebei-Anhui,2023,0.0
Qinghai-Sichuan,2023,0.0
Guangdong-Fujian,2023,0.0
Jiangxi-Guangdong,2023,0.0
Shaanxi-Hubei,2023,0.0
Chongqing-Hunan,2023,0.0
Guizhou-Hunan,2023,1337.021530819621
Yunnan-Sichuan,2023,9409.762677905172
East_Inner_Mongolia-Liaoning,2023,0.0
Yunnan-Guangxi,2023,3127.2053678584793
Shaanxi-Sichuan,2023,5625.936106509902
Gansu-Sichuan,2023,6624.275472182622
Shaanxi-Chongqing,2023,0.0
Hunan-Guangdong,2023,2875.3785153068234
Shandong-Jiangsu,2023,0.0
Anhui-Shandong,2023,0.0
West_Inner_Mongolia-Ningxia,2023,0.0
Ningxia-Shaanxi,2023,0.0
East_Inner_Mongolia-Jilin,2023,0.0
Guizhou-Sichuan,2023,11704.86189544824
Shaanxi-Shanxi,2023,0.0
Gansu-Shaanxi,2023,0.0
Guangxi-Guangdong,2023,0.0
East_Inner_Mongolia-Heilongjiang,2023,0.0
Fujian-Zhejiang,2023,0.0
Hubei-Henan,2023,0.0
Anhui-Henan,2023,0.0
Guizhou-Guangxi,2023,2923.227901965303
Jiangxi-Zhejiang,2023,0.0
Fujian-Jiangxi,2023,8655.93470868577
Yunnan-Guizhou,2023,0.0
Shaanxi-Henan,2023,8288.23301597928
Shanxi-Shandong,2023,0.0
West_Inner_Mongolia-Hebei,2023,35064.968484716854
Anhui-Jiangxi,2023,0.0
Hebei-Henan,2023,0.0
Henan-Shandong,2023,0.0
Shanxi-Henan,2023,0.0
Gansu-Ningxia,2023,0.0
West_Inner_Mongolia-Shanxi,2023,7787.488185300781
Guizhou-Chongqing,2023,4465.202963098759
Anhui-Zhejiang,2023,4058.0813278617757
Hubei-Anhui,2023,0.0
Hubei-Hunan,2023,0.0
Hunan-Jiangxi,2023,0.0
Jilin-Liaoning,2023,0.0
Shandong-Tianjin,2023,0.0
Jiangsu-Shanghai,2023,1420.25238648408
Hebei-Shandong,2023,0.0
Hebei-Beijing,2023,0.0
Hebei-Tianjin,2023,0.0
Sichuan-Chongqing,2023,7845.96094667111
Hubei-Jiangxi,2023,194.2727620083151
Jiangsu-Zhejiang,2023,0.0
Heilongjiang-Jilin,2023,889.9620743837029
Qinghai-Gansu,2023,5683.638758163646
Shanxi-Hebei,2023,0.0
Zhejiang-Shanghai,2023,0.0
Anhui-Jiangsu,2023,4354.437754396765
Tianjin-Beijing,2023,0.0
